"Source:","/Users/nico/Dev/cubetto/acc-project/hardware/chain-item.sch"
"Date:","Jeudi 17 mai 2018 Ã  23:24:42"
"Tool:","Eeschema (5.0.0-rc2-dev-603-g5a05135)"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","17"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","C_Small","device:C_Small","Capacitors_SMD:C_0805",""
"","","C2","C_Small","device:C_Small","Capacitors_SMD:C_0805",""
"","","CON1","AVR-ISP-6","atmel:AVR-ISP-6","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"","","J1","Conn_01x04","Connector:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04",""
"","","J2","R_PAD1","Connector:Conn_01x01_Female","chain-item:pogopin",""
"","","J3","R_PAD2","Connector:Conn_01x01_Female","chain-item:pogopin",""
"","","J4","Conn_01x04","Connector:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04",""
"","","J5","R_PAD1","Connector:Conn_01x01_Male","chain-item:pad_resistor",""
"","","J6","R_PAD2","Connector:Conn_01x01_Male","chain-item:pad_resistor",""
"","","LED1","WS2812B","Worldsemi:WS2812B","LEDs:LED_WS2812B-PLCC4","http://www.world-semi.com/uploads/soft/150522/1-150522091P5.pdf"
"","","MK11","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_2.2mm_M2",""
"","","MK12","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_2.2mm_M2",""
"","","MK13","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_2.2mm_M2",""
"","","MK14","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_2.2mm_M2",""
"","","R1","R","device:R","Resistors_SMD:R_0805",""
"","","R2","R","device:R","Resistors_SMD:R_0805",""
"","","U1","ATTINY10-TS","atmel:ATTINY10-TS","TO_SOT_Packages_SMD:SOT-23-6","http://www.atmel.com/images/atmel-8127-avr-8-bit-microcontroller-attiny4-attiny5-attiny9-attiny10_datasheet-summary.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","C_Small","device:C_Small","Capacitors_SMD:C_0805",""
"2","1","CON1","AVR-ISP-6","atmel:AVR-ISP-6","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"3","2","J1, J4","Conn_01x04","Connector:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04",""
"4","1","J2","R_PAD1","Connector:Conn_01x01_Female","chain-item:pogopin",""
"5","1","J3","R_PAD2","Connector:Conn_01x01_Female","chain-item:pogopin",""
"6","1","J5","R_PAD1","Connector:Conn_01x01_Male","chain-item:pad_resistor",""
"7","1","J6","R_PAD2","Connector:Conn_01x01_Male","chain-item:pad_resistor",""
"8","1","LED1","WS2812B","Worldsemi:WS2812B","LEDs:LED_WS2812B-PLCC4","http://www.world-semi.com/uploads/soft/150522/1-150522091P5.pdf"
"9","4","MK11, MK12, MK13, MK14","Mounting_Hole","mechanical:Mounting_Hole","Mounting_Holes:MountingHole_2.2mm_M2",""
"10","2","R1, R2","R","device:R","Resistors_SMD:R_0805",""
"11","1","U1","ATTINY10-TS","atmel:ATTINY10-TS","TO_SOT_Packages_SMD:SOT-23-6","http://www.atmel.com/images/atmel-8127-avr-8-bit-microcontroller-attiny4-attiny5-attiny9-attiny10_datasheet-summary.pdf"
